Ref,Status,Location,Created,Status Changed,Priority,Cause,project,Report Status,Task Group
T1.16048247,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety
T1.16048250,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,System Failure,JPC - Safety - PPE,1328,Open,Safety
T1.16048256,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Documentation,1328,Open,Safety
T1.16048257,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Welfare Facilities,1328,Open,Safety
T1.16048262,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety
T1.16150527,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - WAH Equipment,1328,Open,Safety
T1.16150582,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety
T1.16162383,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,System Failure,JPC - Safety - Scaffolding,1328,Open,Safety
T1.16162405,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16162406,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,14/09/2020,14/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.16162407,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>1. Bracken Lane (South Elevation)>4th to 5th Floor,14/09/2020,14/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.16162409,Open / Ongoing Works,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16162410,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.16162411,Open,JPC Project Management>EHS Management>01 Inspections,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16162412,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Open,Safety
T1.16199608,Closed,JPC Project Management>EHS Management>01 Inspections,11/09/2020,15/09/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16252101,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16275592,Closed,JPC Project Management>EHS Management>01 Inspections,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16360340,Closed,JPC Project Management>EHS Management>01 Inspections,11/09/2020,11/09/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.16373756,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16373757,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16373758,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16374027,Closed,JPC Project Management>EHS Management>01 Inspections,11/09/2020,15/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1328,Closed,Safety
T1.16377299,Closed,JPC Project Management>EHS Management>01 Inspections,11/09/2020,15/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16377302,Open / Ongoing Works,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16377305,Open / Ongoing Works,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16377309,Open / Ongoing Works,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16643796,Open / Ongoing Works,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16643798,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16643799,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16644045,Open,JPC Project Management>EHS Management,11/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T1.16644047,Open,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Quality - Workmanship,1328,Open,Safety
T1.16644122,Open,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16644123,Open,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16644124,Complete,JPC Project Management,10/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16644125,Open,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16644126,Complete,JPC Project Management,10/09/2020,11/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16644127,Works Complete / Resolved,JPC Project Management,10/09/2020,11/09/2020,Other,JPC - Safety - House Keeping,1328,Open,Quality
T1.16658643,Open,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16658645,Open / Ongoing Works,JPC Project Management,10/09/2020,10/09/2020,Other,JPC - Safety - Temporary Electrics,1328,Open,Quality
T1.16767620,Open / Ongoing Works,JPC Project Management,10/09/2020,10/09/2020,Other,JPC - Safety - Working At Height,1328,Open,Quality
T1.16767621,EHS Good Observation,JPC Project Management,10/09/2020,10/09/2020,Behavioural Failure,JPC - Quality - Workmanship,1328,Closed,Safety
T1.16767622,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>2nd Floor Plan,10/09/2020,10/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.16767623,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767624,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767626,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767627,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767628,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767629,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767630,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767631,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16767632,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16807378,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16807380,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16812788,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16812789,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16812790,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16812791,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16812792,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Program - 5 Weather,1328,Open,Site Management
T1.16812793,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16847456,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16847457,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,09/09/2020,09/09/2020,Other,JPC - Safety - Demolition,1328,Open,Site Management
T1.16847458,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16847459,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16847460,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,09/09/2020,09/09/2020,Other,JPC - Program - 6 Information,1328,Open,Site Management
T1.16847461,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2,09/09/2020,09/09/2020,Other,JPC - Safety - Access,1328,Open,Site Management
T1.16847462,Open,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16847463,Open,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16847464,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.16886386,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.16886387,Complete,JPC Project Management>EHS Management>01 Inspections,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16886388,Complete,JPC Project Management>EHS Management>01 Inspections,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16886389,Complete,JPC Project Management>EHS Management>01 Inspections,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16886390,Complete,JPC Project Management>EHS Management>01 Inspections,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16943294,Open,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16960214,Open,JPC Project Management>EHS Management>01 Inspections,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16960215,Open / Ongoing Works,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,09/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.16960216,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - Lead Management,1328,Open,Safety
T1.16960217,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - WAH Equipment,1328,Open,Safety
T1.16960218,Open,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety
T1.16960219,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16960220,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,12/09/2020,Behavioural Failure,JPC - Safety - Plant & Equipment,1328,Open,Safety
T1.16960221,Open,JPC Project Management>EHS Management>04 Staturatury Forms,09/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - Plant & Equipment,1328,Open,Safety
T1.16960222,Complete,JPC Project Management>Site Management,08/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995749,Complete,JPC Project Management>Site Management,08/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995750,Complete,JPC Project Management>Site Management,08/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995751,Open / Ongoing Works,JPC Project Management>EHS Management>01 Inspections,08/09/2020,08/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.16995752,Complete,JPC Project Management>EHS Management>01 Inspections,08/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995753,Open,JPC Project Management>EHS Management>01 Inspections,08/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety
T1.16995754,Open,JPC Project Management>EHS Management>01 Inspections,08/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995755,Complete,JPC Project Management>EHS Management>01 Inspections,08/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.16995756,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,08/09/2020,08/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.17027393,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation),08/09/2020,09/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.17165808,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,08/09/2020,10/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.17165809,Open,QC & BC(A)R,07/09/2020,07/09/2020,Behavioural Failure,JPC - Safety - Environmental,1328,Open,Safety
T1.17165810,Complete,QC & BC(A)R,07/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.17165811,Complete,QC & BC(A)R,07/09/2020,10/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.17165812,Open,QC & BC(A)R,07/09/2020,07/09/2020,Behavioural Failure,JPC - Safety - Environmental,1328,Open,Safety
T1.17165813,Open,QC & BC(A)R,07/09/2020,07/09/2020,System Failure,JPC - Safety - Environmental,1328,Open,Safety
T1.17165814,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,07/09/2020,07/09/2020,Other,JPC - Quality - Materials,1328,Open,Quality
T1.17165815,Works Complete / Resolved,QC & BC(A)R>ITP 01 Structural>Block 1>4th Floor Plan,07/09/2020,10/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.17302632,Open,JPC Project Management>Site Management,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Open,Safety
T1.17302633,Open,JPC Project Management>Site Management,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Open,Safety
T1.17305534,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.18216245,Open,JPC Project Management>Site Management,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Open,Safety
T1.18216246,Open,JPC Project Management>Site Management,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Open,Safety
T1.18216247,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.18216248,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety
T1.18216249,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.18216250,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T1.18216251,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Excavations,1328,Closed,Safety
T1.18216252,Complete,JPC Project Management>EHS Management>01 Inspections,04/09/2020,09/09/2020,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety
T1.18216253,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.18216254,Open,JPC Project Management>EHS Management>01 Inspections,04/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety
T1.18216560,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Roof GA,03/09/2020,03/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.18216561,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,03/09/2020,03/09/2020,Other,JPC - Quality - Materials,1328,Open,Quality
T1.18216562,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,03/09/2020,03/09/2020,Other,JPC - Quality - Materials,1328,Open,Quality
T1.18541182,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,03/09/2020,09/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.18687764,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.18688596,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>7th floor to Roof,03/09/2020,10/09/2020,Other,JPC - Quality - Management,1328,Open,Quality
T1.18693404,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>6th to 7th Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.18701145,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>6th to 7th Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Materials,1328,Open,Quality
T1.18799353,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>6th to 7th Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Damage,1328,Open,Quality
T1.18799730,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>5th to 6th Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.18802541,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.18806423,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Information,1328,Open,Quality
T1.18807006,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>3rd to 4th Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.18807873,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>3rd to 4th Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.19136064,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>2nd to 3rd Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Management,1328,Open,Quality
T1.19140170,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>2nd to 3rd Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.19169443,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>1st to 2nd Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.19169444,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>1st to 2nd Floor,03/09/2020,03/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.19321047,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>1st to 2nd Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Materials,1328,Open,Quality
T1.19686103,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>1st to 2nd Floor,03/09/2020,10/09/2020,Other,JPC - Quality - Workmanship,1328,Open,Quality
T1.19686106,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19686309,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19686511,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19687554,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19687655,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19690808,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19690809,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,03/09/2020,03/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19690810,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19690811,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,03/09/2020,03/09/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.19701471,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.19833569,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - Ladders,1328,Closed,Safety
T1.19833571,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,03/09/2020,03/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.19842247,Closed,JPC Project Management>EHS Management>01 Inspections,03/09/2020,04/09/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
