Ref,Status,Location,Created,Status Changed,Project,Report Forms Status,Report Forms Group
F1.226355,Closed JPC Reviewed,JPC Project Management,05/04/2019,31/07/2019,1328,Closed,Site Management
F1.226382,Closed JPC Reviewed,JPC Project Management,05/04/2019,24/07/2019,1328,Closed,Site Management
F1.226445,Closed JPC Reviewed,JPC Project Management,05/04/2019,31/07/2019,1328,Closed,Site Management
F1.227708,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,08/04/2019,01/04/2020,1328,Closed,Quality
F1.227750,Completed and signed off,1328 - Townsend St,08/04/2019,22/07/2019,1328,Closed,Safety
F1.227752,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,09/04/2019,01/04/2020,1328,Closed,Quality
F1.227798,Completed and signed off,1328 - Townsend St,09/04/2019,22/07/2019,1328,Closed,Safety
F1.227862,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,10/04/2019,01/04/2020,1328,Closed,Quality
F1.227886,Completed and signed off,1328 - Townsend St,10/04/2019,22/07/2019,1328,Closed,Safety
F1.227902,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,12/04/2019,01/04/2020,1328,Closed,Quality
F1.227934,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,12/04/2019,01/04/2020,1328,Closed,Quality
F1.228086,Closed,1328 - Townsend St,12/04/2019,22/07/2019,1328,Closed,Safety
F1.230071,Closed JPC Sign Off,Piling>Block 4>ITP 01 Structural>QC & BC(A)R,15/04/2019,01/04/2020,1328,Closed,Quality
F1.230079,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,15/04/2019,16/05/2019,1328,Closed,Safety
F1.230426,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,15/04/2019,16/05/2019,1328,Closed,Safety
F1.231564,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,15/04/2019,22/07/2019,1328,Closed,Safety
F1.232893,Closed JPC Sign Off,Piling>Block 4>ITP 01 Structural>QC & BC(A)R,16/04/2019,01/04/2020,1328,Closed,Quality
F1.232902,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,16/04/2019,16/05/2019,1328,Closed,Safety
F1.232912,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,16/04/2019,16/05/2019,1328,Closed,Safety
F1.232922,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,18/04/2019,01/04/2020,1328,Closed,Quality
F1.232926,Closed JPC Sign Off,Piling>Block 4>ITP 01 Structural>QC & BC(A)R,18/04/2019,01/04/2020,1328,Closed,Quality
F1.232929,Completed and signed off,1328 - Townsend St,18/04/2019,16/05/2019,1328,Closed,Safety
F1.233352,Closed,1328 - Townsend St,19/04/2019,08/05/2019,1328,Closed,Safety
F1.233358,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,23/04/2019,01/04/2020,1328,Closed,Quality
F1.234024,Completed and signed off,1328 - Townsend St,23/04/2019,08/05/2019,1328,Closed,Safety
F1.235424,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,25/04/2019,01/04/2020,1328,Closed,Quality
F1.235559,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,25/04/2019,01/04/2020,1328,Closed,Quality
F1.235575,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,25/04/2019,08/05/2019,1328,Closed,Safety
F1.236147,Closed,1328 - Townsend St,25/04/2019,08/05/2019,1328,Closed,Safety
F1.236229,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,25/04/2019,08/05/2019,1328,Closed,Safety
F1.236854,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,26/04/2019,01/04/2020,1328,Closed,Quality
F1.236999,Closed JPC Sign Off,Piling>Block 2>ITP 01 Structural>QC & BC(A)R,29/04/2019,01/04/2020,1328,Closed,Quality
F1.237361,Permit to Unload / Dismantle (Closed),1328 - Townsend St,29/04/2019,29/04/2019,1328,Closed,Safety
F1.237973,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,30/04/2019,01/04/2020,1328,Closed,Quality
F1.238010,Completed and signed off,1328 - Townsend St,30/04/2019,08/05/2019,1328,Closed,Safety
F1.238760,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,30/04/2019,08/05/2019,1328,Closed,Safety
F1.238872,Closed JPC Sign Off,Piling>Block 2>ITP 01 Structural>QC & BC(A)R,01/05/2019,01/04/2020,1328,Closed,Quality
F1.239002,Closed JPC Reviewed,1328 - Townsend St,01/05/2019,24/07/2019,1328,Closed,Site Management
F1.240061,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,02/05/2019,01/04/2020,1328,Closed,Quality
F1.240067,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,02/05/2019,24/07/2019,1328,Closed,Quality
F1.240068,Closed,1328 - Townsend St,03/05/2019,08/05/2019,1328,Closed,Safety
F1.240383,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,03/05/2019,08/05/2019,1328,Closed,Safety
F1.241047,Completed and signed off,1328 - Townsend St,03/05/2019,08/05/2019,1328,Closed,Safety
F1.241460,In Process / Manufactor,ITP 02 Architectural & M&E Services>QC & BC(A)R,07/05/2019,07/05/2019,1328,Open,Quality
F1.242063,Closed JPC Sign Off,Piling>Block 2>ITP 01 Structural>QC & BC(A)R,08/05/2019,01/04/2020,1328,Closed,Quality
F1.243211,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.243375,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.243622,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.243918,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.244672,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.245473,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.245518,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.246285,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.248549,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,08/05/2019,24/07/2019,1328,Closed,Quality
F1.249370,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,08/05/2019,16/05/2019,1328,Closed,Safety
F1.249383,Completed and signed off,EHS Management>JPC Project Management,08/05/2019,10/05/2019,1328,Closed,Safety
F1.250448,Opened,Site Management>JPC Project Management,08/05/2019,08/05/2019,1328,Open,Site Management
F1.254568,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,09/05/2019,01/04/2020,1328,Closed,Quality
F1.255182,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,09/05/2019,24/07/2019,1328,Closed,Quality
F1.255199,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,09/05/2019,16/05/2019,1328,Closed,Safety
F1.255203,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,10/05/2019,24/07/2019,1328,Closed,Quality
F1.255207,Closed,1328 - Townsend St,10/05/2019,22/05/2019,1328,Closed,Safety
F1.255211,Completed and signed off,1328 - Townsend St,10/05/2019,16/05/2019,1328,Closed,Safety
F1.256363,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,13/05/2019,01/04/2020,1328,Closed,Quality
F1.256364,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,13/05/2019,24/07/2019,1328,Closed,Quality
F1.256365,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,13/05/2019,01/04/2020,1328,Closed,Quality
F1.256366,Completed and signed off,1328 - Townsend St,13/05/2019,16/05/2019,1328,Closed,Safety
F1.256367,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,14/05/2019,01/04/2020,1328,Closed,Quality
F1.256368,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,14/05/2019,24/07/2019,1328,Closed,Quality
F1.256370,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,15/05/2019,01/04/2020,1328,Closed,Quality
F1.256371,Closed JPC Reviewed,JPC Project Management,15/05/2019,24/07/2019,1328,Closed,Quality
F1.257197,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,15/05/2019,16/05/2019,1328,Closed,Safety
F1.257207,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,16/05/2019,24/07/2019,1328,Closed,Quality
F1.258308,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,16/05/2019,24/07/2019,1328,Closed,Quality
F1.259014,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,16/05/2019,22/05/2019,1328,Closed,Safety
F1.259016,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,17/05/2019,24/07/2019,1328,Closed,Quality
F1.259082,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,17/05/2019,01/04/2020,1328,Closed,Quality
F1.259227,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,17/05/2019,01/04/2020,1328,Closed,Quality
F1.259469,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,17/05/2019,24/07/2019,1328,Closed,Quality
F1.259784,Closed,1328 - Townsend St,17/05/2019,30/05/2019,1328,Closed,Safety
F1.260039,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,17/05/2019,22/05/2019,1328,Closed,Safety
F1.260792,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,20/05/2019,24/07/2019,1328,Closed,Quality
F1.260999,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,21/05/2019,01/04/2020,1328,Closed,Quality
F1.261704,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,21/05/2019,24/07/2019,1328,Closed,Quality
F1.262077,Completed and signed off,1328 - Townsend St,21/05/2019,30/05/2019,1328,Closed,Safety
F1.262081,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,21/05/2019,30/05/2019,1328,Closed,Safety
F1.263210,Closed JPC Sign Off,Piling>Block 1>ITP 01 Structural>QC & BC(A)R,22/05/2019,01/04/2020,1328,Closed,Quality
F1.263242,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,22/05/2019,24/07/2019,1328,Closed,Quality
F1.263412,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,23/05/2019,30/07/2019,1328,Closed,Quality
F1.263518,Closed JPC Sign Off,03 Material Deliveries>Site Management>JPC Project Management,23/05/2019,08/08/2019,1328,Closed,Quality
F1.266127,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,23/05/2019,24/07/2019,1328,Closed,Quality
F1.266128,Completed and signed off,1328 - Townsend St,23/05/2019,30/05/2019,1328,Closed,Safety
F1.266129,Completed and signed off,1328 - Townsend St,23/05/2019,30/05/2019,1328,Closed,Safety
F1.266130,Closed JPC Sign Off,Site Management>JPC Project Management,24/05/2019,08/08/2019,1328,Closed,Quality
F1.266390,Closed JPC Sign Off,Site Management>JPC Project Management,24/05/2019,06/08/2019,1328,Closed,Quality
F1.266391,Closed JPC Sign Off,Site Management>JPC Project Management,24/05/2019,06/08/2019,1328,Closed,Quality
F1.266399,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,24/05/2019,30/05/2019,1328,Closed,Safety
F1.267280,Closed,1328 - Townsend St,24/05/2019,31/05/2019,1328,Closed,Safety
F1.267535,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,27/05/2019,24/07/2019,1328,Closed,Quality
F1.267536,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,28/05/2019,24/07/2019,1328,Closed,Quality
F1.267537,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,28/05/2019,06/06/2019,1328,Closed,Safety
F1.267538,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,28/05/2019,06/06/2019,1328,Closed,Safety
F1.267539,Completed and signed off,1328 - Townsend St,28/05/2019,06/06/2019,1328,Closed,Safety
F1.267540,Completed and signed off,1328 - Townsend St,29/05/2019,06/06/2019,1328,Closed,Safety
F1.267541,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,30/05/2019,24/07/2019,1328,Closed,Quality
F1.267542,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267543,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267544,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267545,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267546,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267547,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267548,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267549,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267550,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267551,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267552,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267553,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267554,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267555,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267556,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267557,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267558,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267559,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267560,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267561,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267562,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.267563,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,30/05/2019,30/07/2019,1328,Closed,Quality
F1.268212,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,30/05/2019,06/06/2019,1328,Closed,Safety
F1.268213,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,31/05/2019,24/07/2019,1328,Closed,Quality
F1.268214,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,31/05/2019,30/07/2019,1328,Closed,Quality
F1.268215,Closed JPC Reviewed,QC Training Records>Quality Management>JPC Project Management,31/05/2019,05/09/2019,1328,Closed,Quality
F1.268216,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,31/05/2019,06/06/2019,1328,Closed,Safety
F1.268217,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2019,30/07/2019,1328,Closed,Quality
F1.268218,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,04/06/2019,24/07/2019,1328,Closed,Quality
F1.268219,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,04/06/2019,06/06/2019,1328,Closed,Safety
F1.268220,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,05/06/2019,30/07/2019,1328,Closed,Quality
F1.268221,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Quality
F1.268222,JPC Sign Off,Basement Plan>Block 3>ITP 01 Structural>QC & BC(A)R,05/06/2019,30/07/2019,1328,Closed,Quality
F1.268223,Completed and signed off,03 Safety Notices>EHS Management>JPC Project Management,05/06/2019,10/06/2019,1328,Closed,Safety
F1.268224,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268240,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268241,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268242,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268243,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268244,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268245,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268246,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268247,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268248,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.268249,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.270950,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,22/07/2019,1328,Closed,Site Management
F1.271759,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.271760,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.271761,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.272564,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.272584,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.272608,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.273391,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.273808,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.273928,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.274188,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.274706,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275407,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275408,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275409,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275410,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275411,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275412,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.275813,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.276707,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.277967,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.281228,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.281229,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.281230,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.281344,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.282517,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.282623,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.282624,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.283204,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2019,24/07/2019,1328,Closed,Site Management
F1.283327,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,06/06/2019,24/07/2019,1328,Closed,Quality
F1.283927,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,06/06/2019,24/07/2019,1328,Closed,Quality
F1.284267,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,06/06/2019,30/07/2019,1328,Closed,Quality
F1.284340,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,06/06/2019,10/06/2019,1328,Closed,Safety
F1.285364,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,06/06/2019,22/07/2019,1328,Closed,Site Management
F1.285388,Closed JPC Sign Off,Foundations>Block 3>ITP 01 Structural>QC & BC(A)R,07/06/2019,30/07/2019,1328,Closed,Quality
F1.285423,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,07/06/2019,24/07/2019,1328,Closed,Quality
F1.285436,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,07/06/2019,10/06/2019,1328,Closed,Safety
F1.285437,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,07/06/2019,22/07/2019,1328,Closed,Site Management
F1.285438,Closed JPC Sign Off,Foundations>Block 4>ITP 01 Structural>QC & BC(A)R,10/06/2019,04/08/2019,1328,Closed,Quality
